Temp (K),Vol (mV),R (mOhm)
145,3.93,4.55
144,3.97,4.52
143,4,4.5
142,4.04,4.47
141,4.07,4.44
140,4.11,4.42
139,4.14,4.39
138,4.18,4.36
137,4.21,4.34
136,4.25,4.3
135,4.28,4.27
134,4.32,4.24
133,4.35,4.22
132,4.39,4.17
131,4.42,4.14
130,4.46,4.11
129,4.49,4.08
128,4.53,4.03
127,4.56,4.02
126,4.6,3.96
125,4.63,3.94
124,4.67,3.88
123,4.7,3.8
122,4.74,3.55
121,4.77,3.44
120,4.81,3.07
119,4.84,2.96
118,4.88,2.66
117,4.91,2.57
116,4.95,2.28
115,4.99,2.17
114,5.02,1.85
113,5.06,1.57
112,5.09,1.32
111,5.13,1.11
110,5.16,0.927
109,5.2,0.845
108,5.23,0.697
107,5.27,0.632
106,5.3,0.515
105,5.34,0.465
104,5.37,0.418
103,5.41,0.374
102,5.44,0.332
101,5.48,0.332
100,5.52,0.291
99,5.56,0.254
98,5.6,0.212
97,5.64,0.212
96,5.68,0.167
95,5.72,0.167
94,5.75,0.135
93,5.79,0.135
92,5.83,0.098
91,5.86,0.098
90,5.9,0.098
89,5.93,0.068
88,5.97,0.068
87,6.01,0.068
86,6.05,0.000206
